geometry,city,EV_stations,parking,edges,parking_space,civic,restaurant,park,school,node,Community_centre,place_of_worship,university,cinema,library,commercial,retail,townhall,government,residential,population,predicted_EV_stations
"POLYGON ((6.847842229569452 49.2215727181042, 6.848018380184627 49.21751770222649, 6.8478914 49.2174372, 6.8478384 49.21732219999999, 6.847649500000001 49.2173032, 6.847615500000001 49.21719319999999, 6.8474435 49.2172042, 6.8472535 49.2171582, 6.847245477704035 49.217111481968615, 6.841300668841832 49.21700048544086, 6.841106910374553 49.22144697655573, 6.847842229569452 49.2215727181042))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4.013376674564997,0
"POLYGON ((6.847245477704035 49.217111481968615, 6.8472365 49.21705920000001, 6.8470455 49.2169672, 6.846977600000001 49.2169032, 6.8469416 49.216765200000005, 6.8467466 49.2166972, 6.846571600000002 49.2165293, 6.846330699999999 49.21644130000001, 6.8456448 49.216254299999996, 6.8446862 49.2158576, 6.8445526 49.2158231, 6.8440845 49.21578960000001, 6.843663500000001 49.21569889999999, 6.843571000000001 49.21569889999999, 6.8434799 49.215598500000006, 6.8433118 49.21554789999999, 6.8430725 49.21550949999999, 6.8429638 49.215442700000004, 6.842833000000001 49.21541609999999, 6.842756900000001 49.215389599999995, 6.842512199999999 49.2152014, 6.842098300000001 49.21502639999999, 6.841859300000001 49.21496839999998, 6.841397571682009 49.214776285657095, 6.841300668841832 49.21700048544086, 6.847245477704035 49.217111481968615))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.847371535054631 49.23240369827784, 6.8486307 49.23272469999999, 6.8492736 49.232137, 6.852604500000001 49.2305639, 6.852603719002843 49.23056158186778, 6.847455776535067 49.230465727521334, 6.847371535054631 49.23240369827784))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.852603719002843 49.23056158186778, 6.8521857000000015 49.22932079999998, 6.85426223753711 49.22897814667338, 6.854384996416561 49.22614459341937, 6.847649026856881 49.22601922481455, 6.847455776535067 49.230465727521334, 6.852603719002843 49.23056158186778))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.854384996416561 49.22614459341937, 6.854577595617056 49.22169806716765, 6.847842229569452 49.2215727181042, 6.847649026856881 49.22601922481455, 6.854384996416561 49.22614459341937))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.854577595617056 49.22169806716765, 6.854615529896079 49.22082215110703, 6.854409499999999 49.22059880000001, 6.854099500000001 49.2204888, 6.853735599999999 49.2202558, 6.853530600000001 49.2202218, 6.853270700000001 49.22013390000001, 6.8527067 49.219729900000004, 6.8524628000000005 49.2196799, 6.852097800000001 49.21964189999999, 6.8518329 49.2195239, 6.851751899999999 49.2194319, 6.851547900000001 49.2193559, 6.851102 49.2193439, 6.851081 49.219264, 6.851139 49.219131, 6.851057 49.219012, 6.850649 49.218867, 6.850467100000001 49.218764, 6.850424100000001 49.21862300000001, 6.850236100000001 49.218581, 6.850166100000001 49.218470999999994, 6.850045100000001 49.21843599999999, 6.849906100000002 49.21823409999999, 6.8497162 49.2182341, 6.8496642 49.218135100000005, 6.8494592 49.2181351, 6.849423200000001 49.21804709999999, 6.849149200000001 49.21805909999999, 6.849046300000001 49.2180011, 6.8490443 49.2179141, 6.8488713 49.2178261, 6.848698300000001 49.217658099999994, 6.8484414 49.2176011, 6.8483544 49.217525099999996, 6.8480474 49.2175361, 6.848018380184627 49.21751770222649, 6.847842229569452 49.2215727181042, 6.854577595617056 49.22169806716765))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.85426223753711 49.22897814667338, 6.854554600000001 49.22892989999999, 6.855233300000001 49.2301532, 6.855830700000001 49.2300634, 6.856890243695 49.23064122134978, 6.860928969711728 49.23071611120684, 6.861121012697725 49.22626956947144, 6.854384996416561 49.22614459341937, 6.85426223753711 49.22897814667338))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4.013376674564997,0
"POLYGON ((6.856890243695 49.23064122134978, 6.857878600000001 49.2311802, 6.859941500000001 49.231811599999986, 6.86088337080669 49.23177174160372, 6.860928969711728 49.23071611120684, 6.856890243695 49.23064122134978))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.861121012697725 49.22626956947144, 6.8612919603529265 49.22231054139195, 6.8611635 49.2223116, 6.8608606 49.222353600000005, 6.860717600000001 49.22234259999999, 6.8605976 49.222395600000006, 6.860252700000001 49.222395600000006, 6.860131700000001 49.22249159999999, 6.8597897 49.22260959999999, 6.8591538 49.2227466, 6.8585169 49.2226786, 6.858291900000001 49.2225026, 6.857967 49.2224686, 6.857775 49.222350600000006, 6.857605999999999 49.2223616, 6.857122100000001 49.22215159999998, 6.857052100000001 49.2219837, 6.8569131 49.2219417, 6.856774200000001 49.22186169999999, 6.856533200000001 49.22186169999999, 6.856425322672673 49.221732385681385, 6.854577595617056 49.22169806716765, 6.854384996416561 49.22614459341937, 6.861121012697725 49.22626956947144))",Saarbrucken,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.856425322672673 49.221732385681385, 6.856377200000001 49.221674699999994, 6.8562222 49.2216407, 6.8560513 49.2216637, 6.855947300000001 49.22161069999999, 6.856032300000001 49.221506700000006, 6.855756300000001 49.22137369999999, 6.855326400000001 49.2213317, 6.8553924 49.2211527, 6.8551194 49.2211977, 6.855117400000001 49.2210528, 6.8550494 49.2209658, 6.8548764 49.2209658, 6.8546355000000005 49.2208438, 6.854615529896079 49.22082215110703, 6.854577595617056 49.22169806716765, 6.856425322672673 49.221732385681385))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.86088337080669 49.23177174160372, 6.861236400000001 49.2317568, 6.8631753 49.2311803, 6.8630907700524455 49.230756139231936, 6.860928969711728 49.23071611120684, 6.86088337080669 49.23177174160372))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.8630907700524455 49.230756139231936, 6.863013400000001 49.2303679, 6.864596 49.23061919999999, 6.867620100000001 49.2305045, 6.867679982499611 49.23050753204296, 6.867857075554266 49.22639415296413, 6.861121012697725 49.22626956947144, 6.860928969711728 49.23071611120684, 6.8630907700524455 49.230756139231936))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4.013376674564997,0
"POLYGON ((6.867857075554266 49.22639415296413, 6.868048467686158 49.22194758781294, 6.863598856609104 49.22186534179969, 6.863364200000001 49.22195369999999, 6.863265199999999 49.22208659999999, 6.862780300000001 49.22220859999999, 6.862679300000001 49.22226260000001, 6.862377400000001 49.22231959999999, 6.8620524000000005 49.222266600000005, 6.8619524 49.2222926, 6.861750400000001 49.22234659999999, 6.861527500000001 49.222308600000005, 6.8612919603529265 49.22231054139195, 6.861121012697725 49.22626956947144, 6.867857075554266 49.22639415296413))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.868048467686158 49.22194758781294, 6.868158938031123 49.219380557567504, 6.866094800000001 49.2201229, 6.864868 49.2207408, 6.8645251 49.22083580000001, 6.864306099999999 49.221060800000004, 6.8641261 49.221392699999996, 6.863946100000001 49.22146169999999, 6.8638871 49.22152669999999, 6.8638881000000005 49.221674699999994, 6.8637462000000005 49.221724699999996, 6.863688200000001 49.221831699999996, 6.863598856609104 49.22186534179969, 6.868048467686158 49.22194758781294))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.867679982499611 49.23050753204296, 6.869548000000001 49.23060209999999, 6.869669000000001 49.23075779999999, 6.871125400000001 49.230533799999996, 6.873760100000001 49.2295539, 6.874465793314646 49.229486762716306, 6.8745931848400685 49.22651834389083, 6.867857075554266 49.22639415296413, 6.867679982499611 49.23050753204296))",Saarbrucken,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.8745931848400685 49.22651834389083, 6.874783973415526 49.222071759381556, 6.868048467686158 49.22194758781294, 6.867857075554266 49.22639415296413, 6.8745931848400685 49.22651834389083))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4.013376674564997,0
"POLYGON ((6.874783973415526 49.222071759381556, 6.874974714990358 49.21762517088269, 6.870636764682048 49.217545249526026, 6.870607200000001 49.2178871, 6.8704372000000005 49.21811209999999, 6.870595200000001 49.2184941, 6.8706292 49.218581, 6.869364400000001 49.218947, 6.868158938031123 49.219380557567504, 6.868048467686158 49.22194758781294, 6.874783973415526 49.222071759381556))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.874974714990358 49.21762517088269, 6.875123907612363 49.214146409656564, 6.874352700000001 49.2143815, 6.873269800000001 49.2147055, 6.8726189 49.21494549999999, 6.871902000000001 49.21531939999999, 6.8715941 49.21552239999999, 6.870930100000001 49.2167772, 6.8707372 49.217002199999996, 6.8706692 49.21717019999999, 6.870636764682048 49.217545249526026, 6.874974714990358 49.21762517088269))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.874465793314646 49.229486762716306, 6.877506800000001 49.229197400000004, 6.877545700000001 49.2295235, 6.8787485 49.2291675, 6.881165237711431 49.23047804740999, 6.881329340409015 49.226642142244955, 6.8745931848400685 49.22651834389083, 6.874465793314646 49.229486762716306))",Saarbrucken,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0,2.8357202042299243,0
"POLYGON ((6.881329340409015 49.226642142244955, 6.881519525413343 49.222195538438676, 6.874783973415526 49.222071759381556, 6.8745931848400685 49.22651834389083, 6.881329340409015 49.226642142244955))",Saarbrucken,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,4.013376674564997,0
"POLYGON ((6.881519525413343 49.222195538438676, 6.881709663565438 49.21774893064624, 6.874974714990358 49.21762517088269, 6.874783973415526 49.222071759381556, 6.881519525413343 49.222195538438676))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.881709663565438 49.21774893064624, 6.881899754880174 49.21330231886776, 6.878151099676454 49.213233487590124, 6.877788200000001 49.2133436, 6.8758675 49.21392360000001, 6.875391500000001 49.21406859999999, 6.8751925 49.214125499999994, 6.875123907612363 49.214146409656564, 6.874974714990358 49.21762517088269, 6.881709663565438 49.21774893064624))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.881899754880174 49.21330231886776, 6.881950285911215 49.2121201131284, 6.880440800000001 49.2125387, 6.878151099676454 49.213233487590124, 6.881899754880174 49.21330231886776))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.881165237711431 49.23047804740999, 6.882331827220972 49.23111062252994, 6.887875913977759 49.23121216707926, 6.888065542114976 49.22676554801991, 6.881329340409015 49.226642142244955, 6.881165237711431 49.23047804740999))",Saarbrucken,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.882331827220972 49.23111062252994, 6.8824808 49.23119139999999, 6.882644300000001 49.2311899, 6.885138699999999 49.2338698, 6.8859084 49.233807999999996, 6.885962944209316 49.235627245034706, 6.887686239107033 49.23565878215571, 6.887875913977759 49.23121216707926, 6.882331827220972 49.23111062252994))",Saarbrucken,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,4.013376674564997,0
"POLYGON ((6.885962944209316 49.235627245034706, 6.885967800000002 49.23578919999999, 6.887644250770754 49.23664298091624, 6.887686239107033 49.23565878215571, 6.885962944209316 49.235627245034706))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.888065542114976 49.22676554801991, 6.888255123533528 49.22231892497773, 6.881519525413343 49.222195538438676, 6.881329340409015 49.226642142244955, 6.888065542114976 49.22676554801991))",Saarbrucken,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.888255123533528 49.22231892497773, 6.888444658248244 49.21787229795285, 6.881709663565438 49.21774893064624, 6.881519525413343 49.222195538438676, 6.888255123533528 49.22231892497773))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.888444658248244 49.21787229795285, 6.888634146273954 49.21342566694531, 6.881899754880174 49.21330231886776, 6.881709663565438 49.21774893064624, 6.888444658248244 49.21787229795285))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.888634146273954 49.21342566694531, 6.888778108535343 49.21004663366978, 6.8851721 49.21122690000001, 6.8849774 49.2112806, 6.881950285911215 49.2121201131284, 6.881899754880174 49.21330231886776, 6.888634146273954 49.21342566694531))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.887644250770754 49.23664298091624, 6.888367500000001 49.2370113, 6.888800600000001 49.2398462, 6.888554790913582 49.240124748681204, 6.894234576876836 49.24022846398333, 6.894423694450036 49.23578183370484, 6.887686239107033 49.23565878215571, 6.887644250770754 49.23664298091624))",Saarbrucken,0,0,24,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.888554790913582 49.240124748681204, 6.887441876227812 49.24138584687951, 6.887437259076237 49.24149404021445, 6.8901319 49.24169100000001, 6.887390060110164 49.24260001237267, 6.887354368034791 49.24343630842865, 6.8898164 49.244472, 6.890826152880856 49.24461633568044, 6.894045412689024 49.24467509028212, 6.894234576876836 49.24022846398333, 6.888554790913582 49.240124748681204))",Saarbrucken,0,0,67,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0.0,0,3.932158986955681,0
"POLYGON ((6.890826152880856 49.24461633568044, 6.8915829 49.2447245, 6.894031772305395 49.24499568821029, 6.894045412689024 49.24467509028212, 6.890826152880856 49.24461633568044))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2.8357202042299243,0
"POLYGON ((6.894423694450036 49.23578183370484, 6.894612765423432 49.23133519944675, 6.887875913977759 49.23121216707926, 6.887686239107033 49.23565878215571, 6.894423694450036 49.23578183370484))",Saarbrucken,0,1,38,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.894612765423432 49.23133519944675, 6.89480178981182 49.22688856120918, 6.888065542114976 49.22676554801991, 6.887875913977759 49.23121216707926, 6.894612765423432 49.23133519944675))",Saarbrucken,0,0,26,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.89480178981182 49.22688856120918, 6.894990767629993 49.22244191899219, 6.888255123533528 49.22231892497773, 6.888065542114976 49.22676554801991, 6.89480178981182 49.22688856120918))",Saarbrucken,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.894990767629993 49.22244191899219, 6.895179698892737 49.217995272795925, 6.888444658248244 49.21787229795285, 6.888255123533528 49.22231892497773, 6.894990767629993 49.22244191899219))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.895179698892737 49.217995272795925, 6.895368583614831 49.213548622620436, 6.888634146273954 49.21342566694531, 6.888444658248244 49.21787229795285, 6.895179698892737 49.217995272795925))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.895368583614831 49.213548622620436, 6.895481718942848 49.21088470845804, 6.894507100000001 49.2101115, 6.8934779 49.20934529999999, 6.893213800000001 49.2091518, 6.89303588507229 49.20905597997976, 6.8918212294784675 49.20903380707906, 6.8909943 49.2092501, 6.8904294 49.209506100000006, 6.888778108535343 49.21004663366978, 6.888634146273954 49.21342566694531, 6.895368583614831 49.213548622620436))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.89303588507229 49.20905597997976, 6.892611100000001 49.208827199999995, 6.8918212294784675 49.20903380707906, 6.89303588507229 49.20905597997976))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.894031772305395 49.24499568821029, 6.8940671 49.2449996, 6.8941753 49.24484189999999, 6.8962215 49.245063099999996, 6.896273599999999 49.24537480000001, 6.899444500000001 49.24506869999999, 6.899514800000001 49.2452064, 6.9001242 49.24510519999999, 6.900082200000001 49.245581699999995, 6.9003885 49.245826100000016, 6.900536700000002 49.245949399999986, 6.9006399 49.24612419999999, 6.900670400000001 49.246229699999994, 6.900586400000001 49.24658989999998, 6.9003626 49.24680169999999, 6.900232500000002 49.2470074, 6.900692461069144 49.246958954002366, 6.900784122175398 49.24479778736807, 6.894045412689024 49.24467509028212, 6.894031772305395 49.24499568821029))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3.0319962826191027,0
"POLYGON ((6.900784122175398 49.24479778736807, 6.900972682154161 49.24035114194193, 6.894234576876836 49.24022846398333, 6.894045412689024 49.24467509028212, 6.900784122175398 49.24479778736807))",Saarbrucken,0,0,24,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.900972682154161 49.24035114194193, 6.901161195666913 49.235904492539504, 6.894423694450036 49.23578183370484, 6.894234576876836 49.24022846398333, 6.900972682154161 49.24035114194193))",Saarbrucken,0,0,24,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.901161195666913 49.235904492539504, 6.9013496627284106 49.231457839160896, 6.894612765423432 49.23133519944675, 6.894423694450036 49.23578183370484, 6.901161195666913 49.235904492539504))",Saarbrucken,0,1,28,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,2,4.013376674564996,0
"POLYGON ((6.9013496627284106 49.231457839160896, 6.901538083353407 49.227011181806205, 6.89480178981182 49.22688856120918, 6.894612765423432 49.23133519944675, 6.9013496627284106 49.231457839160896))",Saarbrucken,0,8,60,0,0,2,2,3,28,2,3,0,0,0,1,1,0,0.0,1,4.013376674564995,1
"POLYGON ((6.901538083353407 49.227011181806205, 6.901726457556647 49.22256452047552, 6.894990767629993 49.22244191899219, 6.89480178981182 49.22688856120918, 6.901538083353407 49.227011181806205))",Saarbrucken,0,0,34,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.901726457556647 49.22256452047552, 6.901914785352869 49.21811785516895, 6.895179698892737 49.217995272795925, 6.894990767629993 49.22244191899219, 6.901726457556647 49.22256452047552))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.901914785352869 49.21811785516895, 6.90209450607985 49.213873388498264, 6.900735061299909 49.21364632089361, 6.895368583614831 49.213548622620436, 6.895179698892737 49.217995272795925, 6.901914785352869 49.21811785516895))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.900735061299909 49.21364632089361, 6.9004368000000005 49.21359649999999, 6.9003220999999995 49.21354949999999, 6.8983124 49.2124661, 6.8957814 49.2110991, 6.8955886 49.2109695, 6.895481718942848 49.21088470845804, 6.895368583614831 49.213548622620436, 6.900735061299909 49.21364632089361))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.900692461069144 49.246958954002366, 6.902642900000001 49.24675349999999, 6.904053900000001 49.24669149999999, 6.9063217 49.24641399999999, 6.907465150778593 49.24628556991802, 6.90752287741847 49.24492009161075, 6.900784122175398 49.24479778736807, 6.900692461069144 49.246958954002366))",Saarbrucken,0,0,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.90752287741847 49.24492009161075, 6.907710833173648 49.240473427118395, 6.900972682154161 49.24035114194193, 6.900784122175398 49.24479778736807, 6.90752287741847 49.24492009161075))",Saarbrucken,0,4,42,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.907710833173648 49.240473427118395, 6.9078987426114224 49.23602675865319, 6.901161195666913 49.235904492539504, 6.900972682154161 49.24035114194193, 6.907710833173648 49.240473427118395))",Saarbrucken,0,0,57,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0.0,0,4.013376674564995,0
"POLYGON ((6.9078987426114224 49.23602675865319, 6.908086605746502 49.23158008621519, 6.9013496627284106 49.231457839160896, 6.901161195666913 49.235904492539504, 6.9078987426114224 49.23602675865319))",Saarbrucken,0,5,129,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0.0,0,4.013376674564996,1
"POLYGON ((6.908086605746502 49.23158008621519, 6.908274422593592 49.2271334098045, 6.901538083353407 49.227011181806205, 6.9013496627284106 49.231457839160896, 6.908086605746502 49.23158008621519))",Saarbrucken,0,1,60,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0.0,0,4.013376674564995,0
"POLYGON ((6.908274422593592 49.2271334098045, 6.908462193167389 49.222686729421234, 6.901726457556647 49.22256452047552, 6.901538083353407 49.227011181806205, 6.908274422593592 49.2271334098045))",Saarbrucken,0,1,16,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
"POLYGON ((6.908462193167389 49.222686729421234, 6.9086499174825855 49.21824004506546, 6.901914785352869 49.21811785516895, 6.901726457556647 49.22256452047552, 6.908462193167389 49.222686729421234))",Saarbrucken,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0.0,1
"POLYGON ((6.9086499174825855 49.21824004506546, 6.908806197263841 49.214537358327114, 6.905599500000001 49.21442549999999, 6.905259700000001 49.214401999999986, 6.90209450607985 49.213873388498264, 6.901914785352869 49.21811785516895, 6.9086499174825855 49.21824004506546))",Saarbrucken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
"POLYGON ((6.907465150778593 49.24628556991802, 6.9081308 49.2462108, 6.9084378 49.246831099999994, 6.9088878 49.2478254, 6.910263314587881 49.249419782296535, 6.914074280571329 49.24948868253149, 6.9142616782719015 49.245042003003675, 6.90752287741847 49.24492009161075, 6.907465150778593 49.24628556991802))",Saarbrucken,0,3,54,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0.0,0,4.013376674564996,0
