,geometry,EV_stations_counts,EV_stations_aperage,EV_stations_voltage,EV_stations_capacity,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,Community_centre_count,school_count,university_count,park_count,townhall_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
2120,"POLYGON ((13.442843522222754 52.536631842239466, 13.44300141167547 52.532169319779584, 13.435667443131075 52.53207260368372, 13.435508810705521 52.53653511063809, 13.442843522222754 52.536631842239466))",2,"[[nan], [nan]]","[[nan], [nan]]","[['2'], ['2']]","[[<POINT (13.443 52.534)>], [<POLYGON ((13.437 52.534, 13.437 52.534, 13.437 52.534, 13.437 52.534, 13.43...>]]",10.022101410748053,Other,29,61,0.07512315270935961,2,{'surface': 2},1,0,0,2,0,0,0,0,0,0,0,0
2121,"POLYGON ((13.44300141167547 52.532169319779584, 13.443159259698641 52.52770679360137, 13.43582603393236 52.52761009300788, 13.435667443131075 52.53207260368372, 13.44300141167547 52.532169319779584))",2,"[['32'], [nan]]","[[nan], [nan]]","[['2'], ['1']]","[[<POINT (13.442 52.531)>], [<POINT (13.442 52.531)>]]",10.022101410748055,Other,17,31,0.11397058823529412,0,{},1,0,0,0,0,1,0,0,0,0,1,0
2122,"POLYGON ((13.443159259698641 52.52770679360137, 13.443317066306768 52.52324426370476, 13.435984583123938 52.523147578610505, 13.43582603393236 52.52761009300788, 13.443159259698641 52.52770679360137))",0,[],[],[],[],10.022101410748055,Other,5,7,0.35,9,"{'street_side': 7, 'surface': 1, 'lane': 1}",0,0,0,0,0,0,0,0,0,0,1,0
2123,"POLYGON ((13.443317066306768 52.52324426370476, 13.443474831514335 52.51878173008975, 13.436143090720364 52.518685060491606, 13.435984583123938 52.523147578610505, 13.443317066306768 52.52324426370476))",3,"[[nan], [nan], [nan]]","[[nan], [nan], [nan]]","[['2'], ['1'], ['1']]","[[<POINT (13.438 52.52)>], [<POINT (13.44 52.523)>], [<POINT (13.44 52.523)>]]",10.022101410748057,Other,7,12,0.2857142857142857,8,"{'lane': 6, 'street_side': 1, 'surface': 1}",1,0,0,1,0,1,0,0,0,0,1,2
2124,"POLYGON ((13.443474831514335 52.51878173008975, 13.443632555335821 52.5143191927563, 13.436301556736186 52.51422253865114, 13.436143090720364 52.518685060491606, 13.443474831514335 52.51878173008975))",0,[],[],[],[],10.022101410748055,Other,16,25,0.10416666666666667,65,"{'street_side': 42, 'lane': 9, 'surface': 9, 'half_on_kerb': 3, 'on_kerb': 2}",4,0,1,1,0,0,0,0,0,0,0,0
2125,"POLYGON ((13.443632555335821 52.5143191927563, 13.4437902377857 52.509856651704396, 13.436459981185942 52.5097600130891, 13.436301556736186 52.51422253865114, 13.443632555335821 52.5143191927563))",1,[[nan]],[[nan]],[['2']],[[<POINT (13.438 52.512)>]],10.022101410748055,Other,12,24,0.18181818181818182,92,"{'street_side': 80, 'surface': 10, 'lane': 1, 'on_kerb': 1}",3,0,0,0,0,2,0,0,0,6,2,1
2126,"POLYGON ((13.4437902377857 52.509856651704396, 13.443947878878438 52.50539410693401, 13.436618364084165 52.50529748380545, 13.436459981185942 52.5097600130891, 13.4437902377857 52.509856651704396))",0,[],[],[],[],10.022101410748057,Other,10,20,0.2222222222222222,75,"{'street_side': 73, 'lane': 1, 'multi-storey': 1}",2,0,0,0,0,0,0,0,0,3,0,0
2127,"POLYGON ((13.443947878878438 52.50539410693401, 13.444105478628488 52.500931558445146, 13.436776705445384 52.5008349508002, 13.436618364084165 52.50529748380545, 13.443947878878438 52.50539410693401))",0,[],[],[],[],10.022101410748057,Other,8,14,0.25,17,"{'street_side': 12, 'surface': 3, 'lane': 2}",12,0,0,0,0,0,0,0,0,2,4,0
2128,"POLYGON ((13.444105478628488 52.500931558445146, 13.44426303705031 52.496469006237724, 13.436935005284118 52.49637241407326, 13.436776705445384 52.5008349508002, 13.444105478628488 52.500931558445146))",1,[[nan]],[[nan]],[['2']],[[<POINT (13.437 52.5)>]],10.022101410748055,Other,10,22,0.24444444444444444,116,"{'street_side': 108, 'surface': 7, 'lane': 1}",33,0,1,2,0,1,1,0,0,8,1,3
2129,"POLYGON ((13.44426303705031 52.496469006237724, 13.444420554158345 52.492006450311756, 13.437093263614882 52.491909873624664, 13.436935005284118 52.49637241407326, 13.44426303705031 52.496469006237724))",0,[],[],[],[],10.022101410748055,Other,6,12,0.4,46,"{'street_side': 24, 'surface': 22}",2,0,1,0,0,0,0,0,0,3,0,0
